Capital,X,Y
北京,625.71145,265.20515
天津,646.648895,277.719215
上海,730.844,425.208
重庆,487.123,469.796
石家庄,605.527,300.853
太原,575.685,310.961
沈阳,725.375,214.217
长春,742.702,173.786
哈尔滨,751.847,137.687
南京,691.682,418.295
杭州,706.603,446.211
合肥,661.841,418.295
福州,706.603,528.516
南昌,646.439,486.16
济南,648.845,327.807
郑州,596.382,371.126
武汉,617.078,451.506
长沙,593.975,497.231
广州,611.303,592.531
海口,553.545,663.766
成都,445.73,453.912
贵阳,492.417,533.811
昆明,420.22,563.171
西安,522.259,384.121
兰州,442.842,354.28
西宁,408.668,340.321
拉萨,235.394,452.949
南宁,520.815,605.046
呼和浩特,557.877,255.128
银川,479.422,299.891
乌鲁木齐,220.474,179.562
香港,623.817,611.784
澳门,600.714,615.634
台北,747.515,545.844